date,All Employees: Retail Trade: Food and Beverage Stores,state,msa,city,title,id,frequency,seasonal_adjustment
1990-12-01,20.1175679536353,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-01-01,20.2262272453031,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-02-01,20.2384272128068,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-03-01,20.3217539783713,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-04-01,20.264049153687502,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-05-01,20.380044513539698,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-06-01,20.356149927719,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-07-01,20.2149088896643,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-08-01,20.2732231409885,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-09-01,20.312573137517102,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-10-01,20.262289183065104,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-11-01,20.156093481871604,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1991-12-01,20.103988199258602,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-01-01,20.124609070237,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-02-01,20.1187253633722,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-03-01,20.013250021908398,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-04-01,20.187090592134698,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-05-01,19.971341891961103,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-06-01,19.7180670634596,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-07-01,19.8521078272542,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-08-01,19.6963081530183,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-09-01,19.7100454545364,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-10-01,19.8897140423157,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-11-01,20.0706298156811,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1992-12-01,20.0701166450292,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-01-01,20.0120706717242,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-02-01,19.9989861434387,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-03-01,20.1115651654882,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-04-01,19.990259275312,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-05-01,20.3518181286908,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-06-01,20.7805008065541,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-07-01,20.9973376800616,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-08-01,21.317079329753398,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-09-01,20.8073855696861,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-10-01,21.337710599714104,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-11-01,21.1699191233065,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1993-12-01,21.083870837949103,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-01-01,21.1022927708843,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-02-01,21.5208230470707,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-03-01,21.8263807614371,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-04-01,21.2248760074856,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-05-01,21.2320457803241,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-06-01,21.348105119147803,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-07-01,20.842547746450602,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-08-01,21.1204577348368,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-09-01,21.806443712107395,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-10-01,21.3819882540676,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-11-01,21.5887447229431,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1994-12-01,22.200749594906302,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-01-01,20.6662357521919,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-02-01,20.6081768997078,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-03-01,20.8045324245308,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-04-01,20.8380695041005,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-05-01,20.9350097621883,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-06-01,20.9655075208108,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-07-01,20.7603869735747,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-08-01,20.9088660292502,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-09-01,20.9154556581788,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-10-01,20.7191215352608,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-11-01,20.7996094591647,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1995-12-01,20.8633199033771,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-01-01,20.9345037871489,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-02-01,20.8190480705071,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-03-01,20.7918517298463,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-04-01,20.977842106885603,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-05-01,20.855243312156603,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-06-01,20.5823276007298,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-07-01,20.4606978242362,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-08-01,20.578286939288898,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-09-01,20.7166675050119,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-10-01,19.642507339365,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-11-01,19.9172252007927,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1996-12-01,19.5422792263993,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-01-01,19.3107224329868,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-02-01,19.295321889811802,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-03-01,18.959324421993,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-04-01,19.4940005164148,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-05-01,19.694954401123,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-06-01,19.708599339745103,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-07-01,19.8482676515712,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-08-01,19.764610345192498,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-09-01,19.621715551405998,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-10-01,19.6524184093625,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-11-01,19.607174156082102,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1997-12-01,19.484722107619103,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-01-01,19.919292675967103,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-02-01,19.8135840864287,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-03-01,19.753866979635998,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-04-01,19.6503134635589,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-05-01,19.5568918991864,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-06-01,19.494801702110102,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-07-01,19.909173092330303,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-08-01,20.0397308132635,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-09-01,19.8144868021871,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-10-01,19.6428212490611,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-11-01,20.205743674198303,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1998-12-01,20.2308607964809,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-01-01,19.343443714910396,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-02-01,19.4139649349744,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-03-01,19.3448961141627,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-04-01,19.380997598908397,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-05-01,19.4178419245222,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-06-01,19.467450296041,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-07-01,19.372417516645697,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-08-01,19.4375692832385,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-09-01,19.5952859054466,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-10-01,19.4302848891855,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-11-01,19.404574479811497,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1999-12-01,19.6336895193133,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
