,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,msa,city,state,clean_title
314,BIRM801GOVT,2021-12-08,2021-12-08,"All Employees: Government in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:15-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801GOVTN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Government
315,BIRM801GOVTN,2021-12-08,2021-12-08,"All Employees: Government in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:21-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Government
316,BIRM801INFO,2021-12-08,2021-12-08,"All Employees: Information in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:15-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801INFON).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Information
317,BIRM801INFON,2021-12-08,2021-12-08,"All Employees: Information in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:21-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Information
318,BIRM801LEIH,2021-12-08,2021-12-08,"All Employees: Leisure and Hospitality in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:15-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801LEIHN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Leisure and Hospitality
319,BIRM801LEIHN,2021-12-08,2021-12-08,"All Employees: Leisure and Hospitality in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:21-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Leisure and Hospitality
322,BIRM801MFG,2021-12-08,2021-12-08,"All Employees: Manufacturing in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:15-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801MFGN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Manufacturing
323,BIRM801MFGN,2021-12-08,2021-12-08,"All Employees: Manufacturing in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:21-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Manufacturing
324,BIRM801NA,2021-12-08,2021-12-08,"All Employees: Total Nonfarm in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 14:52:14-06,2.0,4.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Total Nonfarm
325,BIRM801NAN,2021-12-08,2021-12-08,"All Employees: Total Nonfarm in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:20-06,1.0,4.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Total Nonfarm
326,BIRM801PBSV,2021-12-08,2021-12-08,"All Employees: Professional and Business Services in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:15-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801PBSVN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Professional and Business Services
327,BIRM801PBSVN,2021-12-08,2021-12-08,"All Employees: Professional and Business Services in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:20-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Professional and Business Services
328,BIRM801PCPI,2021-12-08,2021-12-08,"Per Capita Personal Income in Birmingham-Hoover, AL (MSA)",1969-01-01,2020-01-01,Annual,A,Dollars,$,Not Seasonally Adjusted,NSA,2021-11-16 07:38:17-06,10.0,10.0,,"Birmingham-Hoover, AL",Birmingham,AL,Per Capita Personal Income
329,BIRM801SRVO,2021-12-08,2021-12-08,"All Employees: Other Services in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:14-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801SRVON).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,All Employees: Other Services
330,BIRM801SRVON,2021-12-08,2021-12-08,"All Employees: Other Services in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:20-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,All Employees: Other Services
331,BIRM801TRAD,2021-12-08,2021-12-08,"All Employees: Trade, Transportation, and Utilities in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:57:14-06,1.0,1.0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/BIRM801TRADN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Birmingham-Hoover, AL",Birmingham,AL,"All Employees: Trade, Transportation, and Utilities"
332,BIRM801TRADN,2021-12-08,2021-12-08,"All Employees: Trade, Transportation, and Utilities in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:41:20-06,1.0,1.0,,"Birmingham-Hoover, AL",Birmingham,AL,"All Employees: Trade, Transportation, and Utilities"
333,BIRM801UR,2021-12-08,2021-12-08,"Unemployment Rate in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Percent,%,Smoothed Seasonally Adjusted,SSA,2021-12-02 13:11:12-06,2.0,21.0,,"Birmingham-Hoover, AL",Birmingham,AL,Unemployment Rate
334,BIRM801URN,2021-12-08,2021-12-08,"Unemployment Rate in Birmingham-Hoover, AL (MSA)",1990-01-01,2021-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-02 10:20:02-06,20.0,21.0,,"Birmingham-Hoover, AL",Birmingham,AL,Unemployment Rate
335,BIRPOP,2021-12-08,2021-12-08,"Resident Population in Birmingham-Hoover, AL (MSA)",2000-01-01,2020-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-05-05 14:46:11-05,12.0,12.0,All observations are July 1 estimates of each year.,"Birmingham-Hoover, AL",Birmingham,AL,Resident Population
357,LAUMT011382000000003A,2021-12-08,2021-12-08,"Unemployment Rate in Birmingham-Hoover, AL (MSA)",1990-01-01,2020-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2021-04-16 14:15:05-05,1.0,21.0,,"Birmingham-Hoover, AL",Birmingham,AL,Unemployment Rate
371,MEDDAYONMAR13820,2021-12-08,2021-12-08,"Housing Inventory: Median Days on Market in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 16:46:12-06,2.0,2.0,"The median number of days property listings spend on the market in a given geography during the specified month (calculated from list date to closing, pending, or off-market date depending on data availability).","Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Days on Market
372,MEDDAYONMARMM13820,2021-12-08,2021-12-08,"Housing Inventory: Median Days on Market Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:32:36-06,1.0,1.0,"The median number of days property listings spend on the market in a given geography during the specified month (calculated from list date to closing, pending, or off-market date depending on data availability).","Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Days on Market Month-Over-Month
373,MEDDAYONMARYY13820,2021-12-08,2021-12-08,"Housing Inventory: Median Days on Market Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:34:03-06,1.0,1.0,"The median number of days property listings spend on the market in a given geography during the specified month (calculated from list date to closing, pending, or off-market date depending on data availability).","Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Days on Market Year-Over-Year
374,MEDLISPRI13820,2021-12-08,2021-12-08,"Housing Inventory: Median Listing Price in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,U.S. Dollars,U.S. $,Not Seasonally Adjusted,NSA,2021-12-06 18:31:53-06,1.0,1.0,The median listing price in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Listing Price
375,MEDLISPRIMM13820,2021-12-08,2021-12-08,"Housing Inventory: Median Listing Price Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-07 17:20:45-06,1.0,1.0,The median listing price in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Listing Price Month-Over-Month
376,MEDLISPRIPERSQUFEE13820,2021-12-08,2021-12-08,"Housing Inventory: Median Listing Price per Square Feet in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,U.S. Dollars,U.S. $,Not Seasonally Adjusted,NSA,2021-12-06 18:30:55-06,3.0,3.0,The median listing price per square foot in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Listing Price per Square Feet
377,MEDLISPRIPERSQUFEEMM13820,2021-12-08,2021-12-08,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:32:11-06,1.0,1.0,The median listing price per square foot in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month
378,MEDLISPRIPERSQUFEEYY13820,2021-12-08,2021-12-08,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:30:20-06,1.0,1.0,The median listing price per square foot in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year
379,MEDLISPRIYY13820,2021-12-08,2021-12-08,"Housing Inventory: Median Listing Price Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:29:36-06,1.0,1.0,The median listing price in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Listing Price Year-Over-Year
383,MEDSQUFEE13820,2021-12-08,2021-12-08,"Housing Inventory: Median Home Size in Square Feet in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 18:29:06-06,1.0,1.0,The median home size in square feet for listings in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Home Size in Square Feet
384,MEDSQUFEEMM13820,2021-12-08,2021-12-08,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:30:07-06,1.0,1.0,The median home size in square feet for listings in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Home Size in Square Feet Month-Over-Month
385,MEDSQUFEEYY13820,2021-12-08,2021-12-08,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:27:53-06,1.0,1.0,The median home size in square feet for listings in a given market during the specified month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Median Home Size in Square Feet Year-Over-Year
390,NEWLISCOU13820,2021-12-08,2021-12-08,"Housing Inventory: New Listing Count in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 18:29:24-06,1.0,1.0,The count of new listings added to the market in a given geography during the month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: New Listing Count
391,NEWLISCOUMM13820,2021-12-08,2021-12-08,"Housing Inventory: New Listing Count Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:26:54-06,1.0,1.0,The count of new listings added to the market in a given geography during the month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: New Listing Count Month-Over-Month
392,NEWLISCOUYY13820,2021-12-08,2021-12-08,"Housing Inventory: New Listing Count Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:28:09-06,1.0,1.0,The count of new listings added to the market in a given geography during the month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: New Listing Count Year-Over-Year
399,PENLISCOU13820,2021-12-08,2021-12-08,"Housing Inventory: Pending Listing Count in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 18:25:59-06,1.0,1.0,"The count of pending listings in a given market during the specified month, if a pending definition is available for that geography.","Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Pending Listing Count
400,PENLISCOUMM13820,2021-12-08,2021-12-08,"Housing Inventory: Pending Listing Count Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-07 17:08:43-06,1.0,1.0,"The count of pending listings in a given market during the specified month, if a pending definition is available for that geography.","Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Pending Listing Count Month-Over-Month
401,PENLISCOUYY13820,2021-12-08,2021-12-08,"Housing Inventory: Pending Listing Count Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 19:07:12-06,0.0,0.0,"The count of pending listings in a given market during the specified month, if a pending definition is available for that geography.","Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Pending Listing Count Year-Over-Year
402,PRIINCCOU13820,2021-12-08,2021-12-08,"Housing Inventory: Price Increased Count in Birmingham-Hoover, AL (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 18:26:11-06,1.0,1.0,The count of listings which have had their price increased in a given market during the month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Price Increased Count
403,PRIINCCOUMM13820,2021-12-08,2021-12-08,"Housing Inventory: Price Increased Count Month-Over-Month in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-07 17:05:57-06,1.0,1.0,The count of listings which have had their price increased in a given market during the month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Price Increased Count Month-Over-Month
404,PRIINCCOUYY13820,2021-12-08,2021-12-08,"Housing Inventory: Price Increased Count Year-Over-Year in Birmingham-Hoover, AL (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-07 17:02:10-06,1.0,1.0,The count of listings which have had their price increased in a given market during the month.,"Birmingham-Hoover, AL",Birmingham,AL,Housing Inventory: Price Increased Count Year-Over-Year
