date,All Employees: Health Care: Ambulatory Health Care Services,state,msa,city,title,id,frequency,seasonal_adjustment
2004-01-01,88.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2005-01-01,92.8,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2006-01-01,97.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2007-01-01,104.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2008-01-01,109.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2009-01-01,115.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2010-01-01,122.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2011-01-01,127.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2012-01-01,133.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2013-01-01,137.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2014-01-01,141.2,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2015-01-01,147.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2016-01-01,152.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2017-01-01,156.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2018-01-01,161.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2019-01-01,165.2,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2020-01-01,163.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1990-01-01,151.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-02-01,152.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-03-01,152.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-04-01,152.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-05-01,152.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-06-01,152.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-07-01,152.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-08-01,153.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-09-01,152.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-10-01,154.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-11-01,154.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1990-12-01,155.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-01-01,155.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-02-01,155.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-03-01,154.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-04-01,157.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-05-01,158.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-06-01,158.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-07-01,158.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-08-01,158.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-09-01,157.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-10-01,159.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-11-01,160.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1991-12-01,160.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-01-01,158.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-02-01,158.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-03-01,158.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-04-01,159.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-05-01,159.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-06-01,159.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-07-01,161.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-08-01,161.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-09-01,161.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-10-01,162,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-11-01,161.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1992-12-01,162,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-01-01,162.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-02-01,162.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-03-01,161.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-04-01,159.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-05-01,159.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-06-01,159.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-07-01,158.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-08-01,158.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-09-01,159.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-10-01,159.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-11-01,160.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1993-12-01,160.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1994-01-01,161.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
1994-02-01,161.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Health Care: Ambulatory Health Care Services in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311006562100001SA,Monthly,Seasonally Adjusted
