date,All Employees: Health Care: Hospitals,state,msa,city,title,id,frequency,seasonal_adjustment
2000-01-01,57.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2001-01-01,58.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2002-01-01,61.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2003-01-01,63.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2004-01-01,62.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2005-01-01,62.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2006-01-01,64.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2007-01-01,66.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2008-01-01,68.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2009-01-01,71.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2010-01-01,73.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2011-01-01,76.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2012-01-01,77.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2013-01-01,79.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2014-01-01,80.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2015-01-01,82.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2016-01-01,85.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2017-01-01,88.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2018-01-01,89.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2019-01-01,88.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
2020-01-01,87.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1990-01-01,71.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1991-01-01,73.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1992-01-01,76.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1993-01-01,77.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1994-01-01,79.7,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1995-01-01,82.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1996-01-01,83.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1997-01-01,84.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1998-01-01,85.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1999-01-01,85.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2000-01-01,86.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2001-01-01,87.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2002-01-01,89.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2003-01-01,86.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2004-01-01,85.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2005-01-01,87.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2006-01-01,89.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2007-01-01,90.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2008-01-01,91.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2009-01-01,92.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2010-01-01,92.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2011-01-01,95.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2012-01-01,96.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2013-01-01,96.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2014-01-01,95.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2015-01-01,95.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2016-01-01,97.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2017-01-01,98.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2018-01-01,100.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2019-01-01,101.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
2020-01-01,95.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Hospitals in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562200001A,Annual,Not Seasonally Adjusted
1990-01-01,48.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1991-01-01,50.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1992-01-01,51.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1993-01-01,54.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1994-01-01,52.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1995-01-01,50.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1996-01-01,48.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1997-01-01,48.8,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1998-01-01,50.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1999-01-01,51.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2000-01-01,51.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2001-01-01,53.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2002-01-01,58.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2003-01-01,61.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2004-01-01,61.8,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2005-01-01,62.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2006-01-01,64.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2007-01-01,67.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2008-01-01,69.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2009-01-01,71.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2010-01-01,72.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2011-01-01,73.2,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2012-01-01,74.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2013-01-01,77.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2014-01-01,78.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2015-01-01,81.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2016-01-01,84.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2017-01-01,85.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2018-01-01,85.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2019-01-01,87.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
2020-01-01,88.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Hospitals in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562200001A,Annual,Not Seasonally Adjusted
1990-01-01,5.0,NE,"Lincoln, NE",Lincoln,"All Employees: Health Care: Hospitals in Lincoln, NE (MSA)",SMU31307006562200001A,Annual,Not Seasonally Adjusted
1991-01-01,5.2,NE,"Lincoln, NE",Lincoln,"All Employees: Health Care: Hospitals in Lincoln, NE (MSA)",SMU31307006562200001A,Annual,Not Seasonally Adjusted
1992-01-01,5.4,NE,"Lincoln, NE",Lincoln,"All Employees: Health Care: Hospitals in Lincoln, NE (MSA)",SMU31307006562200001A,Annual,Not Seasonally Adjusted
1993-01-01,5.3,NE,"Lincoln, NE",Lincoln,"All Employees: Health Care: Hospitals in Lincoln, NE (MSA)",SMU31307006562200001A,Annual,Not Seasonally Adjusted
1994-01-01,5.0,NE,"Lincoln, NE",Lincoln,"All Employees: Health Care: Hospitals in Lincoln, NE (MSA)",SMU31307006562200001A,Annual,Not Seasonally Adjusted
1995-01-01,5.0,NE,"Lincoln, NE",Lincoln,"All Employees: Health Care: Hospitals in Lincoln, NE (MSA)",SMU31307006562200001A,Annual,Not Seasonally Adjusted
