date,"All Employees: Trade, Transportation, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1992-03-01,53.6377163307169,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-04-01,54.128720104024204,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-05-01,54.5121489253576,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-06-01,54.6810561059315,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-07-01,54.944849536921396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-08-01,55.158334850218296,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-09-01,55.2332577305296,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-10-01,55.5577472183534,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-11-01,55.1524063702775,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-12-01,55.6605402408397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-01-01,56.026575567535,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-02-01,56.092423705107,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-03-01,56.4346506851606,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-04-01,56.6293609100031,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-05-01,56.3364683381188,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-06-01,56.3513678313944,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-07-01,56.7913138507036,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-08-01,56.989675087790395,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-09-01,57.0795779341839,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-10-01,57.0300759267723,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-11-01,57.1985475818919,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1993-12-01,57.49155489326161,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-01-01,58.136944979894295,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-02-01,58.2965722529379,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-03-01,58.409398810179795,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-04-01,58.7523710776756,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-05-01,59.0889585398338,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-06-01,59.326024733742706,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-07-01,59.443646526437995,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-08-01,59.6024622645869,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-09-01,60.1429621167494,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-10-01,60.29765297527639,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-11-01,60.624209064394904,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1994-12-01,61.6926963958455,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-01-01,61.0581420020661,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-02-01,61.5413862944865,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-03-01,61.6008907907761,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-04-01,61.374339553501905,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-05-01,61.834673423652895,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-06-01,61.760990858595505,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-07-01,61.5060784159387,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-08-01,62.0106716082364,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-09-01,62.327660737684496,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-10-01,63.14980816281079,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-11-01,62.6362143183974,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1995-12-01,62.7670619140695,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-01-01,62.7329856222086,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-02-01,62.7002382210456,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-03-01,62.7841610032748,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-04-01,63.2147601072077,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-05-01,63.2761550778478,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-06-01,62.97016615202949,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-07-01,64.0580162660256,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-08-01,64.6079744269381,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-09-01,64.62613113507979,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-10-01,64.6593757357382,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-11-01,64.97139929787501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1996-12-01,64.8262966305211,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-01-01,65.3408796506087,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-02-01,65.41314704420871,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-03-01,65.5058527652915,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-04-01,65.1173203330227,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-05-01,65.27991756740721,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-06-01,65.5544364205667,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-07-01,65.80926957060821,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-08-01,66.1017192020578,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-09-01,66.11298956698491,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-10-01,66.3519126407426,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-11-01,66.5293056425679,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1997-12-01,67.3114809211391,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-01-01,66.7681395579108,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-02-01,66.74112211195461,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-03-01,67.0115865518557,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-04-01,67.5287435727646,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-05-01,67.36563120043999,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-06-01,67.3437110996578,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-07-01,67.153295561479,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-08-01,66.27963422447371,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-09-01,66.557057179972,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-10-01,66.7339158822664,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-11-01,66.8164958385749,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1998-12-01,67.0372071243103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-01-01,66.6948347724121,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-02-01,66.99850134174851,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-03-01,67.33765245948301,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-04-01,66.2134891209681,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-05-01,66.1103134443837,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-06-01,66.14189281344011,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-07-01,66.0938491212142,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-08-01,65.97472845969651,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-09-01,65.84881664639781,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-10-01,66.4283473194765,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-11-01,65.8103826669891,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1999-12-01,65.9943234002592,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-01-01,65.9389403873704,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-02-01,65.93690030623901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-03-01,66.1273552382204,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-04-01,66.6177943050498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-05-01,66.8664752153829,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-06-01,66.86635214674929,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-07-01,66.5312673419088,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-08-01,66.8591856049153,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-09-01,67.1989510493096,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-10-01,67.3075007653139,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-11-01,68.01787066282171,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2000-12-01,67.4936545959906,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-01-01,67.3719206859533,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-02-01,67.1919762303642,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-03-01,67.0133440396889,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-04-01,66.6824222917385,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-05-01,66.6408879742725,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-06-01,66.6158725541823,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-07-01,66.4509159750325,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-08-01,66.5485761006111,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
2001-09-01,66.2387049159791,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
